Tipo, Raza, Nombre, Color, Peso
Gato,Cooker Spaniel,Bishi,café,41
Perro,Persa,Negro,moteado,31
Gato,Calicó,Bolita,blanco,8
Gato,Dorado,Linus,café,23
Perro,Calicó,Linus,miel,16
Perro,Chihuahua,Manchas,moteado,1
Perro,Pastor Inglés,Negro,negro,34
Gato,Maltés,Brownie,negro,19
Perro,Chihuahua,Bishi,gris,17
Gato,Chihuahua,Linus,blanco,50
Gato,Chihuahua,Bishi,pardo,27
Gato,Pastor Alemán,Negro,negro,27
Gato,Pastor Inglés,Negro,moteado,44
Gato,Maltés,Pulgas,café,16
Perro,Dorado,Negro,miel,4
Perro,Maltés,Pulgas,naranja,51
Gato,Calicó,Manchas,miel,39
Gato,Cooker Spaniel,Bolita,pardo,37
Gato,Pastor Inglés,Brownie,blanco,52
Perro,Pastor Alemán,Linus,moteado,37
Gato,Dorado,Bolita,blanco,26
Gato,Persa,Bishi,pardo,9
Gato,Persa,Motitas,pardo,18
Gato,Siames,Motitas,pardo,31
Gato,Dorado,Brownie,gris,29
Gato,Cooker Spaniel,Moana,moteado,8
Perro,Dorado,Motitas,moteado,27
Gato,Pastor Inglés,Moana,gris,1
Gato,Maltés,Linus,miel,18
Gato,Chihuahua,Pulgas,café,11
Gato,Pastor Alemán,Negro,moteado,55
Perro,Chihuahua,Moana,moteado,49
Gato,Chihuahua,Brownie,gris,51
Gato,Maltés,Bishi,pardo,51
Gato,Pastor Alemán,Moana,gris,23
Perro,Chihuahua,Motitas,miel,12
Perro,Maltés,Pulgas,moteado,47
Gato,Persa,Brownie,moteado,24
Perro,Dorado,Bishi,gris,38
Perro,Cooker Spaniel,Motitas,negro,54
Perro,Calicó,Pulgas,moteado,1
Perro,Persa,Brownie,negro,15
Perro,Calicó,Brownie,negro,34
Perro,Calicó,Pulgas,café,53
Gato,Pastor Alemán,Negro,blanco,54
Perro,Persa,Manchas,naranja,51
Gato,Dorado,Moana,pardo,56
Perro,Pastor Alemán,Brownie,miel,21
Gato,Persa,Manchas,gris,10
Gato,Dorado,Bishi,café,27
Perro,Maltés,Negro,gris,32
Gato,Cooker Spaniel,Bolita,negro,11
Perro,Dorado,Bolita,miel,32
Perro,Siames,Bishi,blanco,37
Gato,Siames,Motitas,naranja,60
Perro,Siames,Manchas,blanco,60
Perro,Pastor Inglés,Linus,blanco,26
Gato,Cooker Spaniel,Linus,negro,25
Gato,Maltés,Pulgas,moteado,54
Perro,Calicó,Pulgas,café,24
Perro,Persa,Brownie,negro,9
Gato,Siames,Bishi,miel,3
Perro,Dorado,Moana,gris,58
Gato,Dorado,Moana,naranja,50
Perro,Dorado,Negro,café,13
Perro,Dorado,Pulgas,blanco,37
Gato,Cooker Spaniel,Moana,moteado,47
Gato,Siames,Pulgas,miel,32
Perro,Pastor Alemán,Brownie,miel,5
Perro,Chihuahua,Brownie,moteado,15
Gato,Chihuahua,Motitas,negro,4
Gato,Calicó,Moana,naranja,58
Gato,Pastor Alemán,Negro,negro,59
Gato,Dorado,Motitas,naranja,33
Gato,Siames,Brownie,gris,7
Gato,Chihuahua,Pulgas,miel,18
Gato,Cooker Spaniel,Manchas,moteado,17
Perro,Siames,Negro,miel,50
Gato,Siames,Bishi,moteado,53
Gato,Siames,Bolita,café,26
Gato,Pastor Alemán,Motitas,negro,33
Perro,Calicó,Moana,naranja,34
Perro,Cooker Spaniel,Manchas,pardo,37
Gato,Pastor Alemán,Linus,negro,59
Perro,Pastor Inglés,Linus,miel,53
Perro,Chihuahua,Linus,gris,15
Perro,Chihuahua,Bolita,café,10
Gato,Cooker Spaniel,Bishi,miel,36
Perro,Chihuahua,Bishi,pardo,17
Perro,Cooker Spaniel,Bishi,miel,12
Gato,Maltés,Linus,café,45
Gato,Calicó,Bolita,negro,2
Perro,Persa,Motitas,café,57
Gato,Calicó,Linus,blanco,1
Perro,Cooker Spaniel,Pulgas,gris,10
Perro,Chihuahua,Linus,café,28
Perro,Persa,Brownie,miel,3
Gato,Calicó,Manchas,café,51
Gato,Cooker Spaniel,Negro,blanco,33
Gato,Cooker Spaniel,Linus,gris,12
Gato,Calicó,Linus,moteado,7
Gato,Cooker Spaniel,Pulgas,naranja,43
Perro,Persa,Bolita,pardo,47
Perro,Pastor Inglés,Motitas,café,54
Perro,Chihuahua,Manchas,moteado,17
Perro,Dorado,Bishi,miel,51
Perro,Siames,Manchas,gris,10
Perro,Persa,Bolita,naranja,19
Gato,Siames,Manchas,moteado,11
Gato,Cooker Spaniel,Bolita,moteado,50
Gato,Siames,Pulgas,café,45
Perro,Pastor Alemán,Negro,moteado,25
Gato,Maltés,Moana,naranja,30
Perro,Persa,Bishi,miel,42
Gato,Pastor Alemán,Linus,miel,52
Gato,Maltés,Bishi,blanco,44
Gato,Maltés,Pulgas,blanco,26
Perro,Maltés,Motitas,negro,31
Perro,Cooker Spaniel,Brownie,naranja,52
Gato,Pastor Alemán,Pulgas,blanco,47
Perro,Cooker Spaniel,Negro,gris,1
Gato,Maltés,Bolita,miel,32
Perro,Maltés,Bishi,miel,42
Gato,Cooker Spaniel,Bishi,moteado,38
Perro,Maltés,Negro,blanco,27
Perro,Calicó,Moana,miel,33
Perro,Chihuahua,Pulgas,café,12
Perro,Chihuahua,Bishi,negro,20
Gato,Maltés,Motitas,miel,39
Gato,Pastor Inglés,Linus,café,31
Gato,Siames,Linus,blanco,46
Perro,Siames,Brownie,negro,17
Gato,Maltés,Brownie,negro,8
Gato,Pastor Inglés,Manchas,naranja,42
Gato,Calicó,Negro,gris,3
Gato,Cooker Spaniel,Negro,pardo,27
Perro,Calicó,Manchas,miel,32
Gato,Chihuahua,Pulgas,miel,39
Perro,Pastor Inglés,Manchas,gris,40
Perro,Calicó,Motitas,café,42
Perro,Calicó,Negro,negro,18
Gato,Calicó,Brownie,miel,57
Gato,Pastor Inglés,Motitas,pardo,5
Perro,Pastor Alemán,Bolita,miel,40
Perro,Calicó,Manchas,café,19
Gato,Persa,Manchas,naranja,26
Perro,Pastor Alemán,Bishi,moteado,46
Gato,Pastor Alemán,Motitas,negro,57
Gato,Cooker Spaniel,Pulgas,negro,36
Perro,Persa,Linus,naranja,29
Gato,Pastor Inglés,Moana,naranja,31
Perro,Calicó,Negro,miel,52
Perro,Persa,Motitas,moteado,2
Perro,Dorado,Bolita,café,7
Perro,Calicó,Bolita,gris,20
Gato,Persa,Bishi,café,37
Gato,Chihuahua,Bolita,pardo,49
Perro,Siames,Pulgas,moteado,5
Perro,Pastor Inglés,Pulgas,pardo,39
Gato,Maltés,Negro,naranja,27
Gato,Dorado,Linus,moteado,35
Gato,Siames,Manchas,gris,32
Gato,Persa,Negro,pardo,19
Perro,Chihuahua,Bishi,pardo,43
Perro,Pastor Alemán,Motitas,blanco,14
Perro,Cooker Spaniel,Manchas,café,2
Gato,Calicó,Moana,blanco,6
Perro,Maltés,Brownie,pardo,27
Gato,Persa,Linus,moteado,53
Gato,Dorado,Bishi,café,48
Perro,Chihuahua,Negro,gris,47
Perro,Maltés,Linus,blanco,37
Perro,Persa,Pulgas,blanco,16
Gato,Chihuahua,Bishi,café,52
Gato,Dorado,Brownie,pardo,47
Perro,Dorado,Linus,negro,5
Perro,Cooker Spaniel,Brownie,naranja,8
Gato,Maltés,Manchas,pardo,60
Perro,Chihuahua,Pulgas,blanco,60
Gato,Pastor Inglés,Brownie,pardo,26
Gato,Chihuahua,Manchas,moteado,49
Perro,Pastor Inglés,Motitas,pardo,6
Perro,Pastor Alemán,Motitas,moteado,52
Gato,Pastor Alemán,Manchas,café,49
Gato,Calicó,Manchas,café,36
Perro,Persa,Linus,blanco,38
Perro,Siames,Motitas,blanco,58
Gato,Chihuahua,Negro,negro,44
Perro,Pastor Inglés,Negro,negro,23
Gato,Pastor Inglés,Linus,café,26
Perro,Pastor Alemán,Pulgas,naranja,8
Gato,Cooker Spaniel,Manchas,naranja,33
Perro,Cooker Spaniel,Manchas,café,6
Perro,Calicó,Negro,pardo,3
Gato,Pastor Inglés,Linus,café,52
Perro,Pastor Inglés,Bishi,negro,2
Perro,Dorado,Bolita,moteado,10
Gato,Siames,Brownie,naranja,3
Perro,Chihuahua,Bishi,miel,3
Gato,Dorado,Bishi,moteado,42
Perro,Dorado,Pulgas,blanco,57
Perro,Maltés,Linus,gris,17
Gato,Pastor Inglés,Pulgas,naranja,36
Perro,Chihuahua,Moana,moteado,12
Perro,Cooker Spaniel,Motitas,miel,47
Gato,Pastor Alemán,Bishi,moteado,3
Perro,Siames,Pulgas,café,22
Perro,Pastor Alemán,Negro,café,42
Perro,Calicó,Bishi,gris,47
Perro,Dorado,Brownie,blanco,6
Gato,Maltés,Moana,café,12
Perro,Chihuahua,Motitas,gris,16
Gato,Persa,Manchas,blanco,20
Perro,Maltés,Bishi,gris,34
Perro,Siames,Pulgas,miel,6
Perro,Chihuahua,Manchas,negro,48
Perro,Siames,Pulgas,naranja,39
Perro,Persa,Motitas,pardo,48
Gato,Pastor Inglés,Moana,moteado,21
Gato,Maltés,Linus,miel,10
Gato,Chihuahua,Bolita,blanco,12
Perro,Calicó,Brownie,miel,7
Gato,Calicó,Negro,moteado,49
Gato,Pastor Inglés,Linus,moteado,43
Perro,Chihuahua,Manchas,pardo,27
Perro,Dorado,Linus,café,12
Gato,Pastor Alemán,Pulgas,negro,30
Gato,Cooker Spaniel,Negro,blanco,13
Gato,Cooker Spaniel,Bolita,gris,8
Gato,Persa,Brownie,naranja,47
Gato,Persa,Brownie,gris,1
Perro,Pastor Inglés,Motitas,café,45
Perro,Maltés,Manchas,moteado,40
Gato,Persa,Pulgas,naranja,37
Perro,Siames,Pulgas,café,37
Perro,Dorado,Bolita,gris,42
Gato,Calicó,Linus,moteado,60
Gato,Pastor Inglés,Bishi,moteado,6
Gato,Dorado,Moana,moteado,39
Gato,Cooker Spaniel,Manchas,pardo,42
Gato,Persa,Negro,moteado,13
Gato,Persa,Motitas,café,52
Perro,Chihuahua,Bishi,naranja,8
Gato,Maltés,Pulgas,miel,7
Perro,Calicó,Negro,café,13
Perro,Maltés,Brownie,pardo,17
Gato,Calicó,Pulgas,moteado,11
Gato,Pastor Alemán,Bolita,miel,31
Gato,Siames,Negro,pardo,23
Perro,Siames,Manchas,café,60
Perro,Dorado,Pulgas,negro,39
Gato,Siames,Bishi,blanco,53
Perro,Cooker Spaniel,Brownie,miel,47
Perro,Calicó,Pulgas,pardo,55
Gato,Maltés,Linus,pardo,7
Gato,Cooker Spaniel,Linus,naranja,60
Perro,Chihuahua,Bolita,miel,14
Perro,Persa,Negro,gris,13
Perro,Pastor Alemán,Bishi,naranja,28
Perro,Pastor Alemán,Linus,pardo,32
Gato,Pastor Alemán,Pulgas,miel,49
Perro,Pastor Inglés,Bolita,blanco,13
Perro,Calicó,Pulgas,moteado,12
Gato,Dorado,Moana,pardo,47
Perro,Pastor Inglés,Negro,miel,37
Perro,Persa,Moana,gris,50
Gato,Calicó,Manchas,café,53
Gato,Siames,Linus,naranja,6
Gato,Calicó,Moana,moteado,41
Perro,Pastor Alemán,Negro,moteado,23
Gato,Maltés,Manchas,blanco,16
Gato,Calicó,Manchas,café,29
Perro,Cooker Spaniel,Negro,pardo,50
Perro,Pastor Inglés,Bishi,naranja,34
Perro,Pastor Alemán,Moana,miel,38
Perro,Dorado,Linus,negro,7
Perro,Persa,Manchas,gris,47
Gato,Cooker Spaniel,Bishi,pardo,19
Perro,Pastor Alemán,Pulgas,miel,6
Gato,Pastor Alemán,Brownie,gris,36
Gato,Pastor Alemán,Negro,negro,12
Perro,Siames,Negro,negro,43
Gato,Persa,Motitas,moteado,29
Perro,Pastor Inglés,Pulgas,negro,3
Gato,Chihuahua,Motitas,miel,46
Gato,Maltés,Linus,miel,36
Perro,Chihuahua,Bolita,pardo,12
Perro,Calicó,Bishi,miel,32
Perro,Maltés,Motitas,miel,40
Perro,Chihuahua,Bishi,café,10
Perro,Pastor Inglés,Pulgas,negro,9
Gato,Cooker Spaniel,Linus,miel,25
Perro,Pastor Inglés,Negro,blanco,31
Perro,Persa,Linus,blanco,14
Perro,Pastor Alemán,Linus,gris,54
Gato,Pastor Alemán,Moana,gris,6
Gato,Pastor Inglés,Motitas,gris,43
Perro,Pastor Alemán,Pulgas,miel,60
Gato,Cooker Spaniel,Manchas,blanco,23
Perro,Persa,Brownie,café,22
Perro,Chihuahua,Negro,blanco,53
Perro,Maltés,Negro,pardo,5
Perro,Calicó,Manchas,pardo,26
Gato,Calicó,Negro,blanco,2
Perro,Cooker Spaniel,Pulgas,naranja,23
Gato,Dorado,Brownie,blanco,41
Perro,Persa,Pulgas,café,14
Perro,Maltés,Brownie,negro,38
Gato,Siames,Negro,negro,2
Gato,Pastor Alemán,Manchas,moteado,31
Perro,Chihuahua,Bolita,miel,8
Perro,Dorado,Motitas,pardo,27
Perro,Calicó,Motitas,moteado,52
Perro,Cooker Spaniel,Bishi,gris,59
Gato,Persa,Pulgas,naranja,7
Gato,Pastor Inglés,Negro,moteado,20
Gato,Dorado,Bolita,café,31
Gato,Dorado,Pulgas,pardo,21
Perro,Persa,Linus,negro,54
Gato,Chihuahua,Bolita,negro,55
Gato,Chihuahua,Bishi,blanco,60
Perro,Cooker Spaniel,Bishi,naranja,52
